AccountId,Name,New_partnershiptypeId,New_name
ddb3cb48-53b6-dd11-b898-00188b804fcd,Fondazione Cassa di Risparmio Salernitana,09034bde-adea-e011-b61f-001ec9e8f280,corporates
f7b3cb48-53b6-dd11-b898-00188b804fcd,Realdania,09034bde-adea-e011-b61f-001ec9e8f280,corporates
f1c8bd54-53b6-dd11-b898-00188b804fcd,Aydin Dogan Vakfi,09034bde-adea-e011-b61f-001ec9e8f280,corporates
6824e278-948d-de11-95cc-00188b804fcd,Siemens Stiftung,09034bde-adea-e011-b61f-001ec9e8f280,corporates
d4dbd43c-53b6-dd11-b898-00188b804fcd,Fundación Barrié,09034bde-adea-e011-b61f-001ec9e8f280,corporates
f5c8bd54-53b6-dd11-b898-00188b804fcd,ERSTE Stiftung,09034bde-adea-e011-b61f-001ec9e8f280,corporates
84dbd43c-53b6-dd11-b898-00188b804fcd,Fondazione CRT,09034bde-adea-e011-b61f-001ec9e8f280,corporates
2d28e530-53b6-dd11-b898-00188b804fcd,Finnish Cultural Foundation,09034bde-adea-e011-b61f-001ec9e8f280,corporates
2c28e530-53b6-dd11-b898-00188b804fcd,Fundação Calouste Gulbenkian,09034bde-adea-e011-b61f-001ec9e8f280,corporates
2c28e530-53b6-dd11-b898-00188b804fcd,Fundação Calouste Gulbenkian,09034bde-adea-e011-b61f-001ec9e8f280,corporates
04d1db36-53b6-dd11-b898-00188b804fcd,Fondazione di Venezia,09034bde-adea-e011-b61f-001ec9e8f280,corporates
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,09034bde-adea-e011-b61f-001ec9e8f280,corporates
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,09034bde-adea-e011-b61f-001ec9e8f280,corporates
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,09034bde-adea-e011-b61f-001ec9e8f280,corporates
1028e530-53b6-dd11-b898-00188b804fcd,"""la Caixa"" Banking Foundation",09034bde-adea-e011-b61f-001ec9e8f280,corporates
0328e530-53b6-dd11-b898-00188b804fcd,Riksbankens Jubileumsfond,09034bde-adea-e011-b61f-001ec9e8f280,corporates
aedbd43c-53b6-dd11-b898-00188b804fcd,Fondazione Cariplo,09034bde-adea-e011-b61f-001ec9e8f280,corporates
c7bdc44e-53b6-dd11-b898-00188b804fcd,Bill & Melinda Gates Foundation,09034bde-adea-e011-b61f-001ec9e8f280,corporates
1228e530-53b6-dd11-b898-00188b804fcd,Wellcome Trust,09034bde-adea-e011-b61f-001ec9e8f280,corporates
2c28e530-53b6-dd11-b898-00188b804fcd,Fundação Calouste Gulbenkian,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
3728e530-53b6-dd11-b898-00188b804fcd,Körber-Stiftung,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
c7bdc44e-53b6-dd11-b898-00188b804fcd,Bill & Melinda Gates Foundation,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
b2b3cb48-53b6-dd11-b898-00188b804fcd,National Foundation for Civil Society Development - Croatia,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
f227e530-53b6-dd11-b898-00188b804fcd,European Cultural Foundation,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
f227e530-53b6-dd11-b898-00188b804fcd,European Cultural Foundation,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
aedbd43c-53b6-dd11-b898-00188b804fcd,Fondazione Cariplo,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
8528e530-53b6-dd11-b898-00188b804fcd,Fundación ONCE,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
f227e530-53b6-dd11-b898-00188b804fcd,European Cultural Foundation,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
6828e530-53b6-dd11-b898-00188b804fcd,King Baudouin Foundation,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
f227e530-53b6-dd11-b898-00188b804fcd,European Cultural Foundation,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
8ab3cb48-53b6-dd11-b898-00188b804fcd,Aga Khan Foundation UK,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
1228e530-53b6-dd11-b898-00188b804fcd,Wellcome Trust,ffd0e33e-4bae-e211-a8a5-00155d001608,European authorities (select also public authorities)
f227e530-53b6-dd11-b898-00188b804fcd,European Cultural Foundation,f88975b0-70c3-e511-905d-00155d33171d,Media
90dbd43c-53b6-dd11-b898-00188b804fcd,Fondation Charles Léopold Mayer pour le progrès de l'Homme,7ebb17d5-adea-e011-b61f-001ec9e8f280,non-profit organisations
92dbd43c-53b6-dd11-b898-00188b804fcd,Fondazione Cassa di Risparmio di Padova e Rovigo,7ebb17d5-adea-e011-b61f-001ec9e8f280,non-profit organisations
1ddbd43c-53b6-dd11-b898-00188b804fcd,Carnegie UK Trust,7ebb17d5-adea-e011-b61f-001ec9e8f280,non-profit organisations
