AccountId,New_financeprofileId,New_NumberofGrants,new_totalexpenditure_base,new_totalassets_base,new_annualturnover_base,New_Value,TransactionCurrencyIdName,new_totalexpenditure,new_totalassets,new_annualturnover,ExchangeRate,new_name,new_AverageExchangeRate
b3a1356f-56b6-dd11-b898-00188b804fcd,21217718-02db-e511-905d-00155d33171d,,,,,2015,,,,,,,
b2b3cb48-53b6-dd11-b898-00188b804fcd,c96763a1-8864-e611-8cb7-00155d33171d,,6326875.3275,,,2014,Croatian Kuna,48301897.0000,,,7.6344000000,Croatian kuna - 2014,7.6344000000
b2b3cb48-53b6-dd11-b898-00188b804fcd,c96763a1-8864-e611-8cb7-00155d33171d,,6326875.3275,,,2014,Croatian Kuna,48301897.0000,,,7.6344000000,Croatian kuna - 2014,7.6344000000
9ae315bd-53ef-e411-b56b-00155d331923,0d68e8a2-54ef-e411-b56b-00155d331923,,6025.3589,3929.5819,,2014,Croatian Kuna,46000.0000,30000.0000,,7.6344000000,Croatian kuna - 2014,7.6344000000
9ae315bd-53ef-e411-b56b-00155d331923,0d68e8a2-54ef-e411-b56b-00155d331923,,6025.3589,3929.5819,,2014,Croatian Kuna,46000.0000,30000.0000,,7.6344000000,Croatian kuna - 2014,7.6344000000
e83b7c66-4da3-e211-bc1c-00155d001608,146de7d5-73fe-e611-a3f7-00155d33171d,120,1391831.4743,172258.5225,,2016,Croatian Kuna,10194748.0000,1261742.0000,,7.5333000000,Croatian kuna - 2016,7.5333000000
c796bb5a-53b6-dd11-b898-00188b804fcd,13bdbc4e-8a5b-e511-b179-00155d33171d,57,11401116.7729,132139502.7235,,2014,Danish Krone,85000000.0000,985154170.0000,,7.4548000000,Danish krone - 2014,7.4548000000
c796bb5a-53b6-dd11-b898-00188b804fcd,13bdbc4e-8a5b-e511-b179-00155d33171d,57,11401116.7729,132139502.7235,,2014,Danish Krone,85000000.0000,985154170.0000,,7.4548000000,Danish krone - 2014,7.4548000000
dd14a7b0-bfb2-e411-b56b-00155d331923,2b05c010-2110-e511-b56b-00155d331923,,13413078.5564,13413078.5564,13413078.5564,2014,Danish Krone,100000000.0000,100000000.0000,100000000.0000,7.4548000000,Danish krone - 2014,7.4548000000
dd14a7b0-bfb2-e411-b56b-00155d331923,2b05c010-2110-e511-b56b-00155d331923,,13413078.5564,13413078.5564,13413078.5564,2014,Danish Krone,100000000.0000,100000000.0000,100000000.0000,7.4548000000,Danish krone - 2014,7.4548000000
e4d0db36-53b6-dd11-b898-00188b804fcd,6e72d186-0280-e611-8cb7-00155d33171d,,,1241361910.3443,,2015,Danish Krone,,9254862000.0000,,7.4587000000,Danish krone - 2015,7.4587000000
e4d0db36-53b6-dd11-b898-00188b804fcd,f4bc222f-0380-e611-8cb7-00155d33171d,,,411057205.4387,,2015,Danish Krone,,3064600000.0000,,7.4587000000,Danish krone - 2015,7.4587000000
7d28e530-53b6-dd11-b898-00188b804fcd,4f8c8d0e-ed0e-de11-87d0-00188b804fcd,245,2091555.0343,693182.4805,,2008,Estonian Kroon,32725725.0000,10845949.0000,,15.6466000000,Estonian kroon - 2008,15.6466000000
3828e530-53b6-dd11-b898-00188b804fcd,217a4fdc-92b6-dd11-b898-00188b804fcd,,872889.0000,1853338.0000,,2004,Euro,872889.0000,1853338.0000,,1.0000000000,,
7bb3cb48-53b6-dd11-b898-00188b804fcd,078748e2-92b6-dd11-b898-00188b804fcd,125,3200000.0000,164000000.0000,,2005,Euro,3200000.0000,164000000.0000,,1.0000000000,,
1ed1db36-53b6-dd11-b898-00188b804fcd,0b7a4fdc-92b6-dd11-b898-00188b804fcd,44,2000000.0000,23600000.0000,,2005,Euro,2000000.0000,23600000.0000,,1.0000000000,,
9b28e530-53b6-dd11-b898-00188b804fcd,167a4fdc-92b6-dd11-b898-00188b804fcd,343,52100000.0000,1678000000.0000,,2005,Euro,52100000.0000,1678000000.0000,,1.0000000000,,
0cc9bd54-53b6-dd11-b898-00188b804fcd,318748e2-92b6-dd11-b898-00188b804fcd,,4160535.0000,2393869.0000,,2006,Euro,4160535.0000,2393869.0000,,1.0000000000,,
a4c8bd54-53b6-dd11-b898-00188b804fcd,f4313fe8-92b6-dd11-b898-00188b804fcd,,9000000.0000,300000000.0000,,2006,Euro,9000000.0000,300000000.0000,,1.0000000000,,
80b3cb48-53b6-dd11-b898-00188b804fcd,f9313fe8-92b6-dd11-b898-00188b804fcd,49,7401000.0000,,,2007,Euro,7401000.0000,,,1.0000000000,,
3496bb5a-53b6-dd11-b898-00188b804fcd,f2313fe8-92b6-dd11-b898-00188b804fcd,,16151383.0000,120000.0000,,2007,Euro,16151383.0000,120000.0000,,1.0000000000,,
51dbd43c-53b6-dd11-b898-00188b804fcd,267a4fdc-92b6-dd11-b898-00188b804fcd,,2161000.0000,,,2007,Euro,2161000.0000,,,1.0000000000,,
9e28e530-53b6-dd11-b898-00188b804fcd,d6850b4e-a9e3-dd11-8d3a-00188b804fcd,"3,947",24375912.0000,797848490.0000,,2007,Euro,24375912.0000,797848490.0000,,1.0000000000,,
6c28e530-53b6-dd11-b898-00188b804fcd,2e0ebbec-4d86-de11-95cc-00188b804fcd,,3387821.0000,43484790.0000,,2007,Euro,3387821.0000,43484790.0000,,1.0000000000,,
a702b760-53b6-dd11-b898-00188b804fcd,e39c54ac-89e1-dd11-984e-00188b804fcd,,10378790.0000,5266952.0000,,2008,Euro,10378790.0000,5266952.0000,,1.0000000000,,
fc5ccde7-eb1a-de11-8f3e-00188b804fcd,9c5f48ae-4d65-de11-aa12-00188b804fcd,,434887.0000,2695851.0000,,2008,Euro,434887.0000,2695851.0000,,1.0000000000,,
410db066-53b6-dd11-b898-00188b804fcd,9a2059d6-095d-df11-8396-00188b804fcd,71,17000000.0000,,90100000000.0000,2009,Euro,17000000.0000,,90100000000.0000,1.0000000000,,
3668ba7d-4c2f-de11-8d16-00188b804fcd,91fd6679-1862-e111-aabe-00155d001800,,,10615341.0000,,2010,Euro,,10615341.0000,,1.0000000000,,
636d16e2-5202-de11-87d0-00188b804fcd,e8498f3f-c83a-e111-ad0d-00155d001800,,3160000.0000,16500000.0000,,2010,Euro,3160000.0000,16500000.0000,,1.0000000000,,
527541f8-b036-e111-8306-00155d001800,102524de-225e-e111-b80b-00155d001800,,,,,2011,Euro,,,,1.0000000000,,
610a9dcc-1fb7-e211-b548-00155d001608,4e44f46a-05eb-e211-945b-00155d001608,,857769.0000,552731.0000,,2011,Euro,857769.0000,552731.0000,,1.0000000000,,
a2c4dd4b-d99d-e111-900b-00155d001800,c9dece90-a4b3-e111-959e-00155d001800,,9317839.0000,22000000.0000,,2011,Euro,9317839.0000,22000000.0000,,1.0000000000,,
6900d00d-c931-df11-8156-00188b804fcd,a9440f1e-74b4-e111-a51d-00155d001800,,12813873.0000,13304475.0000,,2011,Euro,12813873.0000,13304475.0000,,1.0000000000,,
82dbd43c-53b6-dd11-b898-00188b804fcd,00a93746-22f0-e111-8765-00155d000f01,,,38578062.0000,,2011,Euro,,38578062.0000,,1.0000000000,,
2d44c330-3887-e211-adea-00155d001608,ec55b725-f8f5-e211-83f4-00155d001608,,19893700.0000,369021000.0000,,2012,Euro,19893700.0000,369021000.0000,,1.0000000000,,
4e3c58d4-b1f2-e211-85bf-00155d001608,96773ba3-f7f5-e211-83f4-00155d001608,,2700000.0000,60000.0000,2700000.0000,2013,Euro,2700000.0000,60000.0000,2700000.0000,1.0000000000,,
95dbd43c-53b6-dd11-b898-00188b804fcd,c85e14ec-1526-e511-b56b-00155d331923,,38195402.0000,33608480.0000,,2013,Euro,38195402.0000,33608480.0000,,1.0000000000,,
4e28e530-53b6-dd11-b898-00188b804fcd,8af056da-0635-e511-aa0f-00155d33171d,,20792828.0000,518759208.0000,,2013,Euro,20792828.0000,518759208.0000,,1.0000000000,,
4696bb5a-53b6-dd11-b898-00188b804fcd,cfae6f8c-0735-e511-aa0f-00155d33171d,,62157917.0000,1014649795.0000,,2013,Euro,62157917.0000,1014649795.0000,,1.0000000000,,
b3e8e155-55b6-dd11-b898-00188b804fcd,a1a5aca8-5934-e511-aa0f-00155d33171d,,578553959.0000,,,2013,Euro,578553959.0000,,,1.0000000000,,
1e28e530-53b6-dd11-b898-00188b804fcd,09a02616-0835-e511-aa0f-00155d33171d,,9775280.0000,304918110.0000,,2013,Euro,9775280.0000,304918110.0000,,1.0000000000,,
47bec44e-53b6-dd11-b898-00188b804fcd,03795520-0a35-e511-aa0f-00155d33171d,,17742000.0000,93062000.0000,,2013,Euro,17742000.0000,93062000.0000,,1.0000000000,,
69c8bd54-53b6-dd11-b898-00188b804fcd,5f329dba-3435-e511-aa0f-00155d33171d,,2745302.0000,,,2013,Euro,2745302.0000,,,1.0000000000,,
3e96bb5a-53b6-dd11-b898-00188b804fcd,ec69704a-c536-e511-aa0f-00155d33171d,,13396699.0000,21480452.0000,,2013,Euro,13396699.0000,21480452.0000,,1.0000000000,,
6328e530-53b6-dd11-b898-00188b804fcd,895bec94-2146-e311-bb67-00155d33170f,,13668749.0000,20177634.0000,,2013,Euro,13668749.0000,20177634.0000,,1.0000000000,,
6428e530-53b6-dd11-b898-00188b804fcd,fb2ebaa6-a724-e511-b56b-00155d331923,,10166849.0000,252000000.0000,,2013,Euro,10166849.0000,252000000.0000,,1.0000000000,,
86dbd43c-53b6-dd11-b898-00188b804fcd,cfa6ec8d-1326-e511-b56b-00155d331923,,10287883.0000,251266227.0000,,2013,Euro,10287883.0000,251266227.0000,,1.0000000000,,
8adbd43c-53b6-dd11-b898-00188b804fcd,99fad932-1426-e511-b56b-00155d331923,,,386961240.0000,,2013,Euro,,386961240.0000,,1.0000000000,,
