accountid,New_typesofsupportId,New_name,New_Code
40f512ab-d7fd-dd11-87d0-00188b804fcd,a6438f78-62bd-e611-a3f7-00155d33171d,Philanthropy Advisory Services,P23
1528e530-53b6-dd11-b898-00188b804fcd,a6438f78-62bd-e611-a3f7-00155d33171d,Philanthropy Advisory Services,P23
1f28e530-53b6-dd11-b898-00188b804fcd,a6438f78-62bd-e611-a3f7-00155d33171d,Philanthropy Advisory Services,P23
6828e530-53b6-dd11-b898-00188b804fcd,a6438f78-62bd-e611-a3f7-00155d33171d,Philanthropy Advisory Services,P23
b3a1356f-56b6-dd11-b898-00188b804fcd,a6438f78-62bd-e611-a3f7-00155d33171d,Philanthropy Advisory Services,P23
6900d00d-c931-df11-8156-00188b804fcd,8a714f32-63bd-e611-a3f7-00155d33171d,Knowledge related to the philanthropic sector,P24
1528e530-53b6-dd11-b898-00188b804fcd,8a714f32-63bd-e611-a3f7-00155d33171d,Knowledge related to the philanthropic sector,P24
6828e530-53b6-dd11-b898-00188b804fcd,8a714f32-63bd-e611-a3f7-00155d33171d,Knowledge related to the philanthropic sector,P24
876af96b-e7ab-e211-8907-00155d001608,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
46e833d1-98a6-e211-bc1c-00155d001608,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
40f512ab-d7fd-dd11-87d0-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
f227e530-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
ff27e530-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
0a28e530-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
4528e530-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
4628e530-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
5228e530-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
9f47d042-53b6-dd11-b898-00188b804fcd,26ccd387-3e73-e511-b179-00155d33171d,Film/Documentary,P22
9ae315bd-53ef-e411-b56b-00155d331923,dd61fd68-4030-df11-8156-00188b804fcd,Funder-operated programme,F20
